Identifier,Topic Key,English Source,Machine Translation,Edit Required,Clinical Harm Potential,Post-Edited Translation,CMQM Categories,MQM Categories,Notes
FQ59,llm-cataract@1.0.0,"Alright So you've been experiencing some changes in your vision. Now, I just want to ask, is your vision slightly hazy, or completely blurred?",好吧，你最近经历了一些视力变化。现在，我只想问一下，你的视力稍微模糊，还是完全看不清？,,,,,,
FA59.1,llm-cataract@1.0.0,My vision is slightly hazy rather than completely blurred.,我的视力有些模糊，但不是完全模糊。,,,,,,
FA59.2,llm-cataract@1.0.0,uhmm its completely blurred.,嗯，它完全模糊了。,,,,,,
FQ60,llm-cataract@1.0.0,Are you experiencing any blurry vision since your surgery?,你在手术后有模糊视力的经历吗？,,,,,,
FA60.1,llm-cataract@1.0.0,its a bit hazy,有点模糊,,,,,,
FA60.2,llm-cataract@1.0.0,its completely blurred,完全模糊不清,,,,,,
FA60.3,llm-cataract@1.0.0,no,不,,,,,,
FA60.4,llm-cataract@1.0.0,yes,是的,,,,,,
FA60.5,llm-cataract@1.0.0,"it was clear up until two weeks ago, then started getting blurry",两周前还很清楚，但之后就开始变得模糊起来了,,,,,,
FA60.6,llm-cataract@1.0.0,it's been bad since the surgery to be honest,老实说，自从做了手术后情况就一直不好,,,,,,
FA60.7,llm-cataract@1.0.0,it's a bit blurry,有点模糊,,,,,,
FA60.8,llm-cataract@1.0.0,it's worse,更糟糕,,,,,,
FA60.9,llm-cataract@1.0.0,"well it's not better, but maybe that's because I'm wearing my old glasses",“好吧，也许这并没有什么改善，但是可能是因为我戴着旧眼镜的缘故”,,,,,,
FA60.10,llm-cataract@1.0.0,"it's worse, with or without my old glasses",“有没有戴旧眼镜，都一样糟糕”,,,,,,
FA60.11,llm-cataract@1.0.0,it's still blurry,仍然模糊不清,,,,,,
FQ61,llm-cataract@1.0.0,When did you first notice the blurriness?,你是什么时候第一次注意到模糊的？,,,,,,
FA61.1,llm-cataract@1.0.0,"it was clear up until two weeks ago, then started getting blurry",两周前还很清楚，但之后就开始变得模糊起来了,,,,,,
FA61.2,llm-cataract@1.0.0,it's been bad since the surgery to be honest,老实说，自从做了手术后情况就一直不好,,,,,,
FA61.3,llm-cataract@1.0.0,no,不,,,,,,
FA61.4,llm-cataract@1.0.0,it's a bit blurry,有点模糊,,,,,,
FQ62,llm-cataract@1.0.0,Is the blurriness only when you are wearing your old glasses?,模糊的视力只发生在你戴旧眼镜的时候吗？,,,,,,
FA62.1,llm-cataract@1.0.0,"well it's not better, but maybe that's because I'm wearing my old glasses",“好吧，也许这并没有什么改善，但是可能是因为我戴着旧眼镜的缘故”,,,,,,
FA62.2,llm-cataract@1.0.0,"it's worse, with or without my old glasses",“有没有戴旧眼镜，都一样糟糕”,,,,,,
FA62.3,llm-cataract@1.0.0,it's worse,更糟糕,,,,,,
FA62.4,llm-cataract@1.0.0,it's still blurry,仍然模糊不清,,,,,,
FQ63,llm-cataract@1.0.0,Have you noticed any floaters since the surgery?,你在手术后有没有注意到任何眼花？,,,,,,
FA63.1,llm-cataract@1.0.0,since the operation I see them now and again,自从手术后，我偶尔会看到他们。,Yes,,自从手术后，我时不时会见到他们,linguistic_quality,,
FA63.2,llm-cataract@1.0.0,"yes, but only occassionally",是的，但只是偶尔,,,,,,
FA63.3,llm-cataract@1.0.0,only since two days ago,只有两天前,,,,,,
FA63.4,llm-cataract@1.0.0,yes I have,是的，我有,,,,,,
FA63.5,llm-cataract@1.0.0,"I've had some, dark dots yes",我有一些，黑点，是的,,,,,,
FQ64,llm-cataract@1.0.0,"Ok So, I'd like to ask about those floaters you've noticed. Are you seeing these floaters frequently or occasionally?",好吧，那么，我想问一下关于你注意到的那些眼花。 你经常看到这些眼花还是偶尔看到？,,,,,,
FA64.1,llm-cataract@1.0.0,since the operation I see them now and again,自从手术后，我偶尔会看到他们。,Yes,,自从手术后，我时不时会见到他们。,linguistic_quality,,
FA64.2,llm-cataract@1.0.0,"yes, but only occassionally",是的，但只是偶尔,,,,,,
FA64.3,llm-cataract@1.0.0,only since two days ago,只有两天前,,,,,,
FA64.4,llm-cataract@1.0.0,yes I have,是的，我有,,,,,,
FQ65,llm-cataract@1.0.0,Got it So I just want to ask about your vision. Have you noticed any floaters since the surgery?,“明白了，所以我只想问一下关于你的视力。你在手术后有没有注意到任何眼花？”,,,,,,
FA65.1,llm-cataract@1.0.0,"Yes, I've noticed some floaters since the surgery.",是的，我在手术后注意到有一些眼花。,,,,,,
FQ66,llm-cataract@1.0.0,When did you first notice these floaters?,你什么时候第一次注意到这些眼花？,,,,,,
FA66.1,llm-cataract@1.0.0,"I've had some, dark dots yes",我有一些，黑点，是的,,,,,,
FA66.2,llm-cataract@1.0.0,only since two days ago,只有两天前,,,,,,
FA66.3,llm-cataract@1.0.0,since the operation I see them now and again,自从手术后，我偶尔会看到他们。,Yes,,自从手术后，我时不时会见到他们。,linguistic_quality,,
FA66.4,llm-cataract@1.0.0,yes I have,是的，我有,,,,,,
FQ67,llm-cataract@1.0.0,Have you noticed any flashing lights since the surgery?,你在手术后有没有注意到任何闪烁的灯光？,,,,,,
FA67.1,llm-cataract@1.0.0,"yes, like camera flashes",是的，就像相机闪光一样,,,,,,
FA67.2,llm-cataract@1.0.0,just a thin bright line,只有一条细亮的线,,,,,,
FA67.3,llm-cataract@1.0.0,yes,是的,,,,,,
FA67.4,llm-cataract@1.0.0,I have,我有,,,,,,
FA67.5,llm-cataract@1.0.0,yes its worse than it was yesterday,是的，比昨天还糟糕,,,,,,
FA67.6,llm-cataract@1.0.0,yes but its getting better,是的，但正在变得更好,,,,,,
FA67.7,llm-cataract@1.0.0,I have yes but today it seems better,我有，但是今天似乎更好,,,,,,
FA67.8,llm-cataract@1.0.0,only just yesterday,昨天才刚刚,Yes,,只有昨天,linguistic_quality,,
FA67.9,llm-cataract@1.0.0,yes since the operation I see them daily,是的，自从手术后我每天都看到他们,,,,,,
FA67.10,llm-cataract@1.0.0,yes I have,是的，我有,,,,,,
FA67.11,llm-cataract@1.0.0,yes I have had new flashes sometimes,是的，我有时会有新的闪现,,,,,,
FA67.12,llm-cataract@1.0.0,yes I see them all the time,是的，我一直都看到他们,,,,,,
FA67.13,llm-cataract@1.0.0,"yes, but only once or twice",是的，但只有一两次,,,,,,
FQ68,llm-cataract@1.0.0,"Alright So, I'd like to ask a bit more about the flashing lights. Can you describe them - are they like camera flashes, or a thin line, or something else?",好吧，那么，我想问一些关于闪烁的灯光的问题。你能描述一下它们吗 - 它们像相机闪光灯，还是一条细线，或者其他什么东西？,,,,,,
FA68.1,llm-cataract@1.0.0,"yes, like camera flashes",是的，就像相机闪光一样,,,,,,
FA68.2,llm-cataract@1.0.0,just a thin bright line,只有一条细亮的线,,,,,,
FA68.3,llm-cataract@1.0.0,yes,是的,,,,,,
FA68.4,llm-cataract@1.0.0,I have,我有,,,,,,
FQ69,llm-cataract@1.0.0,"Got it So, I'd like to ask about those flashing lights. Are you still noticing them, and are they getting better or worse over time?",明白了，那么我想问一下关于那些闪烁的灯光。你还在注意到它们吗，它们随着时间的推移是变得更好还是更糟？,,,,,,
FA69.1,llm-cataract@1.0.0,just a thin bright line,只有一条细亮的线,,,,,,
FA69.2,llm-cataract@1.0.0,"yes i am, its worse i think",是的，我是的，我想情况更糟糕,,,,,,
FA69.3,llm-cataract@1.0.0,yes i am but its getting better,是的，我是，但它正在变得更好,,,,,,
FA69.4,llm-cataract@1.0.0,definitely worse,绝对更糟糕,,,,,,
FA69.5,llm-cataract@1.0.0,definitely better,绝对更好,,,,,,
FQ70,llm-cataract@1.0.0,"Okay So, you've noticed some flashing lights since the surgery. Flashing lights can be like intermittent camera flashes in your vision. When did you start noticing these flashing lights?",“ 好吧，你在手术后注意到了一些闪烁的灯光。闪烁的灯光可能像你视野中的间歇性相机闪光一样。当你开始注意到这些闪烁的灯光？,Yes,,好的，你手术后注意到眼前出现一些闪光，就像相机闪光灯间歇性亮起一样。你是什么时候开始注意到这些闪光的？,ungrounded_content,,
FA70.1,llm-cataract@1.0.0,only just yesterday,昨天才刚刚,Yes,,只有昨天,ungrounded_content,,
FA70.2,llm-cataract@1.0.0,yes since the operation I see them daily,是的，自从手术后我每天都看到他们,No,major,,,,
FA70.3,llm-cataract@1.0.0,yes I have,是的，我有,No,major,,,,
FA70.4,llm-cataract@1.0.0,yes I have had new flashes sometimes,是的，我有时会有新的闪现,No,major,,,,
FQ71,llm-cataract@1.0.0,"Right So, I'd like to ask a bit more about the flashing lights you've noticed. Do you experience them rarely or frequently?",对，所以我想问一下关于你注意到的闪烁灯光的问题。你是很少经历还是经常经历？,No,minor,,,,
FA71.1,llm-cataract@1.0.0,yes I see them all the time,是的，我一直都看到他们,,,,,,
FA71.2,llm-cataract@1.0.0,"yes, but only once or twice",是的，但只有一两次,,,,,,
FA71.3,llm-cataract@1.0.0,yes,是的,,,,,,
FQ72,llm-cataract@1.0.0,Do you get pain when you are looking at bright lights?,你看亮光时会感到疼痛吗？,,,,,,
FA72.1,llm-cataract@1.0.0,just a little bit,只有一点点,,,,,,
FA72.2,llm-cataract@1.0.0,"Yes, it's a severe pain",是的，这是一种严重的疼痛,,,,,,
FA72.3,llm-cataract@1.0.0,Do you get pain when you are looking at bright lights?,你看亮光时会感到疼痛吗？,,,,,,
FA72.4,llm-cataract@1.0.0,Yes it's sensitive when im in the sun,是的，当我在阳光下时会很敏感,,,,,,
FQ73,llm-cataract@1.0.0,"Alright So, you're experiencing some pain when looking at bright lights. That can be a sign of inflammation in the eye, and we might need to take a closer look. Some mild light sensitivity is normal after surgery, but pain when looking at bright lights isn't. Can you tell me more about the pain - would you describe it as mild, moderate, severe, or unbearable?",好吧，你在看亮光时感到一些疼痛。这可能是眼睛发炎的迹象，我们可能需要更仔细地检查。手术后有些轻微的光敏感是正常的，但看亮光时感到疼痛是不正常的。你能告诉我更多关于疼痛的信息吗？你会把它描述为轻微、适中、严重还是无法忍受？,Yes,,好的，所以，你看强光的时候会感到疼痛。这可能是眼睛发炎的迹象，我们需要做个更详细的检查。术后轻微光敏感是正常的，但看你看强光时感到疼痛不是吗？你能详细描述一下疼痛的情况吗？您觉得是轻微、中度、剧烈还是难以忍受？,linguistic_quality,,
FA73.1,llm-cataract@1.0.0,just a little bit,只有一点点,,,,,,
FA73.2,llm-cataract@1.0.0,"Yes, it's a severe pain",是的，这是一种严重的疼痛,,,,,,
FA73.3,llm-cataract@1.0.0,Do you get pain when you are looking at bright lights?,你看亮光时会感到疼痛吗？,,,,,,
FA73.4,llm-cataract@1.0.0,Yes it's sensitive when im in the sun,是的，当我在阳光下时会很敏感,,,,,,
FQ80,llm-cataract@1.0.0,Okay so,“好吧，所以”,,,,,,
FA80.1,llm-cataract@1.0.0,yes since the operation I see them daily,是的，自从手术后我每天都看到他们,,,,,,
FQ81,llm-cataract@1.0.0,"Right So, I'd like to ask a bit more about the flashing lights you've noticed.",对，所以，我想问一下关于你注意到的闪烁的灯光。,,,,,,
FA81.1,llm-cataract@1.0.0,ok,“ 好 ”,,,,,,
FQ82,llm-cataract@1.0.0,"Alright So, you're experiencing some pain when looking at bright lights. That can be a sign of inflammation in the eye, and we might need to take a closer look. Some mild light sensitivity is normal after surgery, but pain when looking at bright lights isn't.",好吧，你在看亮光时感到一些疼痛。这可能是眼睛发炎的迹象，我们可能需要更仔细地检查。手术后轻微的光敏感是正常的，但看亮光时感到疼痛是不正常的。,Yes,,好的，所以，你看强光的时候会感到疼痛。这可能是眼睛发炎的迹象，我们需要做个更详细的检查。术后轻微光敏感是正常的，但看你看强光时感到疼痛不是吗？,linguistic_quality,,
FA82.1,llm-cataract@1.0.0,ok,“ 好 ”,,,,,,
SQ84,llm-cataract@1.0.0,"Are you having trouble seeing clearly at a distance, up close, or both?",你在远处、近处或两者都看不清楚吗？,,,,,,
SA84.1,llm-cataract@1.0.0,yes at a distance,在远处,,,,,,
SA84.2,llm-cataract@1.0.0,yes up close,是的，近距离,,,,,,
SA84.3,llm-cataract@1.0.0,both,两者,,,,,,
SA84.4,llm-cataract@1.0.0,i cant see far or near,我看不远也看不近,,,,,,
SA84.5,llm-cataract@1.0.0,i cant see up close,我近视不清,Yes,,我看不清近处的东西,linguistic_quality,,
SA84.6,llm-cataract@1.0.0,i cant see far,我看不到远处,,,,,,
SA84.7,llm-cataract@1.0.0,yes,是的,,,,,,
SA84.8,llm-cataract@1.0.0,no i dont have blurry vision,“ 不，我没有模糊的视力 ”,,,,,,
SA84.9,llm-cataract@1.0.0,near is fine,离得近就行,,,,,,
SA84.10,llm-cataract@1.0.0,far is fine,远也好,,,,,,
SQ85,llm-cataract@1.0.0,"Alright So you're not experiencing any redness in your eye. Now, I'd like to ask about any discomfort you might be feeling. Is your eye currently painful?",“ 好吧，所以你的眼睛没有出现红肿。现在，我想问一下你是否感到任何不适。你的眼睛现在感到疼痛吗？“,,,,,,
SA85.1,llm-cataract@1.0.0,uh it's just a bit scratchy and a bit itchy,“嗯，它只是有点抓挠和有点痒”,,,,,,
SQ86,llm-cataract@1.0.0,That sounds uncomfortable Is your eye currently painful?,听起来很不舒服，你的眼睛现在很痛吗？,,,,,,
SA86.1,llm-cataract@1.0.0,It's a bit scratchy and itchy as I said.,我刚才说过，它有点儿痒痒的，还有点儿刺痒。,,,,,,
SQ87,llm-cataract@1.0.0,Are you experiencing any blurry vision?,你是否出现模糊视觉？,,,,,,
SA87.1,llm-cataract@1.0.0,uh let me just check 1 second,“嗯，让我检查一下，1秒钟”,,,,,,
SA87.2,llm-cataract@1.0.0,i dont know let me check,我不知道，让我检查一下,,,,,,
SA87.3,llm-cataract@1.0.0,just going to go check in the mirror,就去镜子里看看,Yes,,去镜子里看看,linguistic_quality,,
SA87.4,llm-cataract@1.0.0,i dont know maybe. let me go check in the mirror,我不知道，也许吧，让我去镜子里看看,,,,,,
SA87.5,llm-cataract@1.0.0,i dont know maybe,我不知道，也许,,,,,,
SQ88,llm-cataract@1.0.0,"So, I just want to ask about your eye. Is your eye currently red?",那么，我只是想问一下关于你的眼睛，你的眼睛现在是红色的吗？,,,,,,
SA88.1,llm-cataract@1.0.0,uh let me just check 1 second,“嗯，让我检查一下，1秒钟”,,,,,,
SQ89,llm-cataract@1.0.0,"Let me see... So, you were just checking... if your",让我看看……那么，你只是在检查……如果你的,,,,,,
SA89.1,llm-cataract@1.0.0,all right yeah I'm just uh it it's um it's not red it's okay,“好吧，是的，我只是，嗯，它，它的，嗯，它不是红色的，它还行”,,,,,,
SQ90,llm-cataract@1.0.0,"I'm calling to see how your eye is healing, and whether you need any support from one of our nurses. I've got some questions that should take a few minutes, and then I'll see if there's anything you'd like to ask. Just so you know, this conversation won't be checked right away, so if you think you have an emergency issue it's important you contact the hospital. So, how's your eye doing since your surgery?",“我打电话是想了解你的眼睛恢复情况，以及你是否需要我们的护士提供任何支持。我有一些问题需要你回答，大概需要几分钟，然后我会看看你是否有任何问题需要问。请注意，这次通话不会立即被检查，所以如果你认为自己有紧急情况，必须立即联系医院。那么，你的眼睛自从手术后恢复得怎么样？”,,,,,,
SA90.1,llm-cataract@1.0.0,"Hi, thanks for checking in. My eye is doing quite well since the surgery. I'm not experiencing any redness, pain, blurry vision, floaters, or flashing lights. Also, I only had surgery on one eye, not both.",你好，谢谢你关心。自从手术后，我的眼睛恢复得挺好。目前没有出现红肿、疼痛、视力模糊、眼前漂浮物或闪烁的灯光等情况。另外，我只在一只眼睛上做了手术，并不是两只眼睛都做了。,,,,,,
SQ91,llm-cataract@1.0.0,Is your eye currently red?,你現在的眼睛是紅的嗎？,No,minor,,,,"This translation is in Traditional Chinese, not Simplified Chinese."
SA91.1,llm-cataract@1.0.0,oh no,哦不,,,,,,
SQ92,llm-cataract@1.0.0,Is your eye,你的眼睛是,,,,,,
SA92.1,llm-cataract@1.0.0,i think so yes,我想是的，是的,,,,,,
SQ93,llm-cataract@1.0.0,are you experiencing,你正在经历什么？,,,,,,
SA93.1,llm-cataract@1.0.0,yes i am,是的，我是,,,,,,
SQ94,llm-cataract@1.0.0,are you experiencing blurry vision,你是否正在经历模糊视力,,,,,,
SA94.1,llm-cataract@1.0.0,in the one that had the cataract yes,在那有白内障的那一个，是的,Yes,,是的，患有白内障的那一个。,linguistic_quality,,
SA94.2,llm-cataract@1.0.0,that's that's right yes,就是就是对的，是的,,,,,,
SA94.3,llm-cataract@1.0.0,yes,是的,,,,,,
SA94.4,llm-cataract@1.0.0,I think it's mostly better,我觉得大多数情况下是更好的,,,,,,
SA94.5,llm-cataract@1.0.0,my vision is a lot clearer since I had my I done that I've obviously got to wait to get to an optician to get new glasses once I finish these drop,自从我做了手术后，我的视力清晰了很多，很明显我得等到去眼镜店配新眼镜，一旦我完成这些眼药水的使用后。,Yes,,自从我做了滴眼液之后，我的视力清晰多了。显然，我得等这些药效过去才能去配新眼镜。,ungrounded_content,,
SA94.6,llm-cataract@1.0.0,it's much worse,情况糟糕得多,,,,,,
SA94.7,llm-cataract@1.0.0,feels like a small stone is stuck in my eye,感觉有一小块石头卡在我的眼里,,,,,,
SA94.8,llm-cataract@1.0.0,I see floaters in my vision,我在视野中看到漂浮物,,,,,,
SA94.9,llm-cataract@1.0.0,well at least I can see clearer definitely,“至少我现在可以看得更清楚了”,,,,,,
SA94.10,llm-cataract@1.0.0,I don't know,我不知道,,,,,,
SA94.11,llm-cataract@1.0.0,well I am not sure to be honest,老实说，我不太确定,,,,,,
SA94.12,llm-cataract@1.0.0,difficult to say because my vision wasn't bad before the surgery I expect when I've had my other eye done it will be better,因为在手术前我的视力并不是很差，所以很难说，但我期望当我做了另一只眼的手术后，视力会更好。,Yes,,很难说，因为手术前我的视力还不错，我估计另一只眼睛手术后会更好。,linguistic_quality,,
SQ95,llm-cataract@1.0.0,Has your vision improved since the surgery,手术后您的视力有改善吗？,,,,,,
SA95.1,llm-cataract@1.0.0,I don't really know if it's improved,我真的不知道它是否有所改善,,,,,,
SA95.2,llm-cataract@1.0.0,Difficult to say because my vision wasn't bad before the surgery I expect when I've had my other I'd done it will be better,很难说，因为在手术前我的视力并不是很差，我希望在做完另一只眼睛后会更好,Yes,,很难说，因为手术前我的视力还不错，我估计另一只眼睛手术后会更好。,linguistic_quality,,
SA95.3,llm-cataract@1.0.0,almost certainly yes no doubt about it at all,几乎可以肯定，没有任何疑问,,,,,,
SA95.4,llm-cataract@1.0.0,I see specks in my vision,我在视野中看到斑点,,,,,,
SQ96,llm-cataract@1.0.0,Has your vision improved as expected since the surgery?,手术后您的视力是否如预期般改善？,,,,,,
SA96.1,llm-cataract@1.0.0,yes,是的,,,,,,
SA96.2,llm-cataract@1.0.0,it has,它有,,,,,,
SQ97,llm-cataract@1.0.0,how's your eye doing after cataract surgery,白内障手术后你的眼睛怎么样了,,,,,,
SA97.1,llm-cataract@1.0.0,very good very good I can see much better,非常好，非常好，我可以看得更清楚了,,,,,,
SA97.2,llm-cataract@1.0.0,I think it's okay I don't know really,我觉得没关系，我真的不知道,,,,,,
SA97.3,llm-cataract@1.0.0,it's difficult to say because my vision wasn't bad before,因为我之前的视力并不是很差，所以很难说。,,,,,,
SA97.4,llm-cataract@1.0.0,what do you mean?,你是什么意思？,,,,,,
SA97.5,llm-cataract@1.0.0,yes it's inflamed and quite quite red,是的，它发炎了，而且非常非常红,,,,,,
SA97.6,llm-cataract@1.0.0,it improved no doubt but because I have a first writer I oppression and this is the left I oppression the right time was very bright very sick and this is good but not as good as the right one,毫无疑问它有所改善，但因为我有一个第一作者，我受压迫，这是左边，我受压迫，右边的时间很明亮，很健康，这是好的，但不如右边的好,,,,,,
SA97.7,llm-cataract@1.0.0,near enough it's getting better every day,差不多了，每天都在变好,,,,,,
SA97.8,llm-cataract@1.0.0,getting better,变得更好,,,,,,
SA97.9,llm-cataract@1.0.0,I think it's improved.,我觉得它有所改善。,,,,,,
SA97.10,llm-cataract@1.0.0,yes it improve a lot improve a lot,是的，它提高了很多，提高了很多,,,,,,
SQ98,llm-cataract@1.0.0,is your vision blurry either when you are reading or when you are watching TV,你在读书或看电视时视力是否模糊？,,,,,,
SA98.1,llm-cataract@1.0.0,It is.,就是这样。,,,,,,
SA98.2,llm-cataract@1.0.0,"It was better, but now it's blurry",“它曾经更好，但现在变得模糊”,,,,,,
SA98.3,llm-cataract@1.0.0,"um, I don't know what expectation there would be. It's not perfect, but it seems to be alright.",“嗯，我不知道会有什么期望。它并不完美，但似乎还可以。”,,,,,,
SA98.4,llm-cataract@1.0.0,I don't know because it was,我不知道，因为它是,,,,,,
SA98.5,llm-cataract@1.0.0,it has improved to a degree because now I can watch TV but I cannot read,“它有了一定的改善，因为现在我可以看电视，但我不能读书”,,,,,,
SA98.6,llm-cataract@1.0.0,"no, not no, not at all.",“ 不是，不，不是。 ”,,,,,,
SA98.7,llm-cataract@1.0.0,it's getting less painful,变得不那么痛苦了,,,,,,
SA98.8,llm-cataract@1.0.0,it's difficult to say because my vision wasn't bad before,因为我之前的视力并不是很差，所以很难说。,,,,,,
SQ99,llm-cataract@1.0.0,are you experiencing flashing lights,你是否正在经历闪烁的灯光？,,,,,,
SA99.1,llm-cataract@1.0.0,that's right yes,对的，是的,,,,,,
SA99.2,llm-cataract@1.0.0,yes these flashing lights are new since the surgery,是的，这些闪烁的灯光自手术后出现的,,,,,,
SA99.3,llm-cataract@1.0.0,these flashing lights just started last week,这些闪烁的灯光就在上周开始的,,,,,,
SA99.4,llm-cataract@1.0.0,I don't think so,我不这么认为,,,,,,
SA99.5,llm-cataract@1.0.0,never,从不,,,,,,
SA99.6,llm-cataract@1.0.0,no I don't recall having any,“ 不是 我不记得有任何”,,,,,,
SA99.7,llm-cataract@1.0.0,"uh, maybe a little bit on the right side, but it's gone now.",“嗯，也许在右边有点儿，但是现在已经没了。”,,,,,,
SA99.8,llm-cataract@1.0.0,much less than it used to be straight after the operation,比手术后立即要少得多,Yes,,比手术后立即的情况好得多,linguistic_quality,,
SA99.9,llm-cataract@1.0.0,in the one that had the cataract yes,在那有白内障的那一个，是的,Yes,,是的，患有白内障的那一个。,linguistic_quality,,
SA99.10,llm-cataract@1.0.0,Uh I'm not sure really I suppose,“嗯，我不太确定，我想”,,,,,,
SA99.11,llm-cataract@1.0.0,Maybe,也许,,,,,,
SA99.12,llm-cataract@1.0.0,I see specks in my vision,我在视野中看到斑点,,,,,,
SA99.13,llm-cataract@1.0.0,there are all these little cobweb things,这里有很多这些小小的蛛网东西,,,,,,
SA99.14,llm-cataract@1.0.0,only in the first two weeks,仅在前两周,,,,,,
SQ100,llm-cataract@1.0.0,are you experiencing flashing lights in your vision,你是否在视野中看到闪烁的灯光？,,,,,,
SA100.1,llm-cataract@1.0.0,I did in the beginning but I haven't got any now,一开始我有，但现在没有了,,,,,,
SQ101,llm-cataract@1.0.0,Do you see flashes of lights in your eye,你在眼中看到闪烁的光吗,,,,,,
SA101.1,llm-cataract@1.0.0,you have definitely has more flashing lights,你绝对有更多闪烁的灯光,,,,,,
SQ102,llm-cataract@1.0.0,are you experiencing floaters like cobwebs and little dark dots,你是否经历过像蛛网和小黑点的眼花现象？,,,,,,
SA102.1,llm-cataract@1.0.0,I had one but that was a week ago that was over a week ago not at the moment,我曾经有一个，但那已经是一周前的事了，不是在现在。,,,,,,
SA102.2,llm-cataract@1.0.0,no not really no I did have but they've gone away,“ 不，不真的不，我曾经有过，但是它们已经消失了 ”,Yes,,不，其实没有，我以前有过，但它们已经消失了,linguistic_quality,,
SA102.3,llm-cataract@1.0.0,I had yes but they've all gone,我曾經有過，但現在都沒有了,No,minor,,,,"This translation is in Traditional Chinese, not Simplified Chinese."
SA102.4,llm-cataract@1.0.0,no it's not anymore,不是了,,,,,,
SA102.5,llm-cataract@1.0.0,I did in the beginning but none recently,我曾經在開始的時候這樣做，但最近沒有。,Yes,minor,一开始有，但最近没有了。,linguistic_quality,,"This translation is in Traditional Chinese, not Simplified Chinese."
SA102.6,llm-cataract@1.0.0,so relieved I don't have that anymore,“太高兴那件事已经过去了”,,,,,,
SA102.7,llm-cataract@1.0.0,I see specks in my vision,我在视野中看到斑点,,,,,,
SA102.8,llm-cataract@1.0.0,there are all these little cobweb things,这里有很多这些小小的蛛网东西,,,,,,
SA102.9,llm-cataract@1.0.0,yes lots and lots of small dark dots keep popping in and out of my vision,是的，有很多很多小的黑点不断地在我的视野中闪现和消失,,,,,,
SA102.10,llm-cataract@1.0.0,I have a line a black line on the left hand side of my vision,我在视野的左侧有一条黑线,,,,,,
SA102.11,llm-cataract@1.0.0,in the one that had the cataract yes,在那有白内障的那一个，是的,Yes,,是的，患有白内障的那一个。,linguistic_quality,,
SA102.12,llm-cataract@1.0.0,my floaters are more annoying now,我的眼花現在更煩人了,No,minor,,,,"This translation is in Traditional Chinese, not Simplified Chinese."
SA102.13,llm-cataract@1.0.0,no absolutely sure,一点也不确定,,,,,,
SA102.14,llm-cataract@1.0.0,I have noticed I guess the answer to that is probably no,我想我已经注意到了，我猜答案可能是没有,,,,,,
SA102.15,llm-cataract@1.0.0,what are floaters?,什么是眼花？,,,,,,
SA102.16,llm-cataract@1.0.0,no no just one one or two floaters that's all,“不，不，只有一两个浮动的，那就够了”,Yes,,不不，就一两个漂浮物，仅此而已。,linguistic_quality,,
SQ103,llm-cataract@1.0.0,Do you have floaters in your eye,你的眼睛里有眼花吗,Yes,,你有眼花吗,,,
SA103.1,llm-cataract@1.0.0,yes I've had some small dots,是的，我有一些小点,,,,,,
SQ104,llm-cataract@1.0.0,Are you experiencing pain in your eye,你眼部是否感到疼痛,,,,,,
SA104.1,llm-cataract@1.0.0,only in the first two weeks,仅在前两周,,,,,,
SA104.2,llm-cataract@1.0.0,only in the first week after the surgery,仅在手术后的第一周内,,,,,,
SA104.3,llm-cataract@1.0.0,no pain food,无痛食物,No,minor,,,,wrong sentence
SA104.4,llm-cataract@1.0.0,I do have a gritty feeling in my eye that was done,我做完后，眼睛里有一种粗糙的感觉,,,,,,
SQ105,llm-cataract@1.0.0,is your eye currently painful,你現在的眼睛很痛嗎？,No,minor,,,,"This translation is in Traditional Chinese, not Simplified Chinese."
SA105.1,llm-cataract@1.0.0,in the one that had the cataract yes,在那有白内障的那一个，是的,Yes,,是的，患有白内障的那一个。,linguistic_quality,,
SA105.2,llm-cataract@1.0.0,It is.,就是这样。,,,,,,
SA105.3,llm-cataract@1.0.0,no a little bit sore but not painful,有点儿疼但是不痛,Yes,,有点酸痛，但不疼。,linguistic_quality,,
SA105.4,llm-cataract@1.0.0,not really but now and then I still got slight discomfort,并非完全如此，但偶尔我仍会感到轻微的不适,,,,,,
SA105.5,llm-cataract@1.0.0,it's slightly sore,有点疼,,,,,,
SA105.6,llm-cataract@1.0.0,no just a bit uncomfortable,只是有点不舒服,,,,,,
SA105.7,llm-cataract@1.0.0,it's pain less,没有痛苦,Yes,,疼痛感减轻了。,negation_polarity,,
SA105.8,llm-cataract@1.0.0,it's like I have a lash stuck in my eye,就像我眼里卡了一根睫毛一样,,,,,,
SA105.9,llm-cataract@1.0.0,My eye stings after eye drops,眼药水后眼睛刺痛,,,,,,
SA105.10,llm-cataract@1.0.0,it's not painful at all now,现在一点也不痛了,,,,,,
SA105.11,llm-cataract@1.0.0,it does hurt a little bit yeah I would kind of describe the pain like a little gritty Sensation,“是的，它确实有点痛，我会把这种疼痛描述为一种轻微的粗糙感觉”,,,,,,
SQ106,llm-cataract@1.0.0,is your eye painful,你的眼睛很痛吗,,,,,,
SA106.1,llm-cataract@1.0.0,Uh I'm not sure really I suppose,“嗯，我不太确定，我想”,,,,,,
SQ107,llm-cataract@1.0.0,Are you experiencing redness in your eye,你眼部是否出现红肿,,,,,,
